Index,Project,Link,GH_Owner,GH_Name,req_files,setup_files
195157,list-fmt,https://github.com/phoenixr-codes/list-fmt,phoenixr-codes,list-fmt,[],[]
195161,listful,https://github.com/d1618033/listful,d1618033,listful,[],[]
195162,listfun,https://github.com/kgraghav/Listfun,kgraghav,Listfun,[],[]
195166,listfunctionmappers,https://github.com/pypa/sampleproject,pypa,sampleproject,[],[]
195170,listgits,https://github.com/OsirisTerje/listgits,OsirisTerje,listgits,[],"[ContentFile(path=""setup.py"")]"
195172,list-grouper-juanbeta,https://github.com/pypa/sampleproject,pypa,sampleproject,[],[]
195174,listify,https://github.com/andrewp-as-is/listify.py,andrewp-as-is,listify.py,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195175,list-imports,https://github.com/andrewp-as-is/list-imports.py,andrewp-as-is,list-imports.py,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195183,listio,https://github.com/jakubvalenta/listio,jakubvalenta,listio,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195184,listish,https://github.com/funkyHat/listish,funkyHat,listish,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195189,listless,https://github.com/dynamic-graphics-inc/dgpy-libs,dynamic-graphics-inc,dgpy-libs,"[ContentFile(path=""requirements"")]",[]
195191,listlessview,https://github.com/miohtama/listlessview,miohtama,listlessview,[],"[ContentFile(path=""setup.py"")]"
195194,list-lookup,https://github.com/gluk-w/python-list-lookup,gluk-w,python-list-lookup,"[ContentFile(path=""requirements_test.txt"")]","[ContentFile(path=""setup.py"")]"
195197,listmanager,https://github.com/Jodagito/listManager,Jodagito,listManager,[],"[ContentFile(path=""setup.py"")]"
195198,list-manager,https://github.com/nairraghav/lists-library,nairraghav,lists-library,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195199,listmatch,https://github.com/pokey/listmatch,pokey,listmatch,"[ContentFile(path=""requirements_dev.txt"")]","[ContentFile(path=""setup.py""), ContentFile(path=""travis_pypi_setup.py"")]"
195200,listme,https://github.com/BurntSushi/ripgrep,BurntSushi,ripgrep,[],[]
195202,list-methods,https://github.com/theodorrene/list_methods,theodorrene,list_methods,[],[]
195205,listmodel,https://github.com/jackuess/listmodel,jackuess,listmodel,[],"[ContentFile(path=""setup.py"")]"
195206,listmonk-api,https://github.com/Knuckles-Team/listmonk-api,Knuckles-Team,listmonk-api,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195207,listmonk-wrapper,https://github.com/Lenders-Cooperative/ListmonkWrapper,Lenders-Cooperative,ListmonkWrapper,[],[]
195223,listools,https://github.com/gilbertohasnofb/listools,gilbertohasnofb,listools,[],"[ContentFile(path=""setup.py"")]"
195224,list-operations,https://github.com/Jana-A/list_operations,Jana-A,list_operations,[],"[ContentFile(path=""setup.py"")]"
195225,listoperations-as-v0-0-1,https://github.com/ashok2216-A/Pymodules-listoperations_AS,ashok2216-A,Pymodules-listoperations_AS,[],[]
195227,listorm,https://github.com/zwolf21/listorm,zwolf21,listorm,[],"[ContentFile(path=""setup.py"")]"
195231,listparser,https://github.com/kurtmckee/listparser,kurtmckee,listparser,[],[]
195249,list-property,https://github.com/justengel/list_property,justengel,list_property,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195251,listql,https://github.com/yujunz/listql,yujunz,listql,"[ContentFile(path=""requirements.txt""), ContentFile(path=""test-requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195255,listre,https://github.com/nattyan-tv/listre,nattyan-tv,listre,[],[]
195258,listreqs,https://github.com/soumya997/Listreqs,soumya997,Listreqs,[],"[ContentFile(path=""setup.py"")]"
195259,list-reserve,https://github.com/ChanTsune/list-reserve,ChanTsune,list-reserve,[],"[ContentFile(path=""setup.py"")]"
195261,listrum,https://github.com/listrum/node-client,listrum,node-client,[],[]
195265,list-screen,https://github.com/JeremyMoeglich/Python-Cmd-Screen,JeremyMoeglich,Python-Cmd-Screen,[],[]
195266,list-session-inhibitors,https://github.com/timrichardson/gnome_inhibit_list,timrichardson,gnome_inhibit_list,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
195267,listset,https://github.com/jmsv/listset,jmsv,listset,[],"[ContentFile(path=""setup.py"")]"
